state,county,year,metric_type,diabetes_prevalence,poverty_population,FIPS
Georgia,"Columbia County, Georgia",2021,Crude Prevalence,25.8,149750.0,13073
Georgia,"Decatur County, Georgia",2021,Crude Prevalence,25.8,25476.0,13087
Georgia,"Floyd County, Georgia",2021,Crude Prevalence,25.8,93107.0,13115
Georgia,"Forsyth County, Georgia",2021,Crude Prevalence,25.8,227535.0,13117
Georgia,"Habersham County, Georgia",2021,Crude Prevalence,25.8,42296.0,13137
Georgia,"Hart County, Georgia",2021,Crude Prevalence,25.8,24802.0,13147
Georgia,"Lowndes County, Georgia",2021,Crude Prevalence,25.8,111150.0,13185
Georgia,"Mcintosh County, Georgia",2021,Crude Prevalence,25.8,13967.0,13191
Georgia,"Meriwether County, Georgia",2021,Crude Prevalence,25.8,20980.0,13199
Georgia,"Monroe County, Georgia",2021,Crude Prevalence,25.8,26089.0,13207
Georgia,"Putnam County, Georgia",2021,Crude Prevalence,25.8,21416.0,13237
Georgia,"Sumter County, Georgia",2021,Crude Prevalence,25.8,27926.0,13261
Georgia,"Taliaferro County, Georgia",2021,Crude Prevalence,25.8,1611.0,13265
Georgia,"Warren County, Georgia",2021,Crude Prevalence,25.8,5224.0,13301
Iowa,"Wayne County, Iowa",2019,Crude Prevalence,11.6,6313.0,19185
Iowa,"Scott County, Iowa",2019,Crude Prevalence,11.6,168966.0,19163
Kansas,"Sherman County, Kansas",2019,Number,1092.0,5736.0,20181
Kansas,"Thomas County, Kansas",2019,Number,1092.0,7380.0,20193
Kansas,"Morris County, Kansas",2019,Number,1092.0,5482.0,20127
Kansas,"Rooks County, Kansas",2019,Number,1092.0,4862.0,20163
Kansas,"Clark County, Kansas",2019,Number,1092.0,1955.0,20025
Kansas,"Harper County, Kansas",2019,Number,1092.0,5438.0,20077
Kansas,"Lyon County, Kansas",2019,Number,1092.0,31606.0,20111
Kansas,"Pawnee County, Kansas",2019,Number,1092.0,5545.0,20145
Kansas,"Comanche County, Kansas",2019,Number,1092.0,1663.0,20033
Kansas,"Gove County, Kansas",2019,Number,1092.0,2589.0,20063
Kansas,"Harvey County, Kansas",2019,Number,1092.0,33100.0,20079
Kansas,"Kearny County, Kansas",2019,Number,1092.0,3820.0,20093
Kansas,"Mcpherson County, Kansas",2019,Number,1092.0,27176.0,20113
Arkansas,"Desha County, Arkansas",2021,Crude Prevalence,24.8,11541.0,5041
Arkansas,"Fulton County, Arkansas",2021,Crude Prevalence,24.8,12028.0,5049
Arkansas,"Howard County, Arkansas",2021,Crude Prevalence,24.8,13094.0,5061
Arkansas,"Garland County, Arkansas",2021,Crude Prevalence,24.8,96855.0,5051
Arkansas,"Mississippi County, Arkansas",2021,Crude Prevalence,24.8,41186.0,5093
Arkansas,"Pope County, Arkansas",2021,Crude Prevalence,24.8,60232.0,5115
Arkansas,"Prairie County, Arkansas",2021,Crude Prevalence,24.8,7978.0,5117
Arkansas,"Union County, Arkansas",2021,Crude Prevalence,24.8,38998.0,5139
Arkansas,"Woodruff County, Arkansas",2021,Crude Prevalence,24.8,6330.0,5147
Arkansas,"Cleburne County, Arkansas",2021,Crude Prevalence,24.8,24727.0,5023
Arkansas,"Cleveland County, Arkansas",2021,Crude Prevalence,24.8,8019.0,5025
Arkansas,"Jackson County, Arkansas",2021,Crude Prevalence,24.8,14325.0,5067
Arkansas,"Hempstead County, Arkansas",2021,Crude Prevalence,24.8,21558.0,5057
Arkansas,"Sharp County, Arkansas",2021,Crude Prevalence,24.8,16828.0,5135
Arkansas,"Stone County, Arkansas",2021,Crude Prevalence,24.8,12350.0,5137
Arkansas,"Washington County, Arkansas",2021,Crude Prevalence,24.8,224112.0,5143
Arkansas,"Baxter County, Arkansas",2021,Crude Prevalence,24.8,40888.0,5005
Arkansas,"Ashley County, Arkansas",2021,Crude Prevalence,24.8,20092.0,5003
Arkansas,"Craighead County, Arkansas",2021,Crude Prevalence,24.8,103022.0,5031
Arkansas,"Greene County, Arkansas",2021,Crude Prevalence,24.8,44080.0,5055
Arkansas,"Perry County, Arkansas",2021,Crude Prevalence,24.8,10228.0,5105
Arkansas,"Poinsett County, Arkansas",2021,Crude Prevalence,24.8,23313.0,5111
Arkansas,"Sevier County, Arkansas",2021,Crude Prevalence,24.8,16872.0,5133
Arkansas,"Calhoun County, Arkansas",2021,Crude Prevalence,24.8,5056.0,5013
Arkansas,"Clark County, Arkansas",2021,Crude Prevalence,24.8,19798.0,5019
Arkansas,"Lawrence County, Arkansas",2021,Crude Prevalence,24.8,15960.0,5075
Arkansas,"Monroe County, Arkansas",2021,Crude Prevalence,24.8,6968.0,5095
Arkansas,"Conway County, Arkansas",2021,Crude Prevalence,24.8,20738.0,5029
Arkansas,"Newton County, Arkansas",2021,Crude Prevalence,24.8,7745.0,5101
Arkansas,"Arkansas County, Arkansas",2021,Crude Prevalence,24.8,17532.0,5001
Arkansas,"Lonoke County, Arkansas",2021,Crude Prevalence,24.8,71763.0,5085
Arkansas,"Carroll County, Arkansas",2021,Crude Prevalence,24.8,27677.0,5015
Arkansas,"St. Francis County, Arkansas",2021,Crude Prevalence,24.8,22438.0,5123
Arkansas,"Pulaski County, Arkansas",2021,Crude Prevalence,24.8,386238.0,5119
California,"Merced County, California",2019,Age-adjusted Prevalence,15.0,265217.0,6047
California,"Mariposa County, California",2019,Age-adjusted Prevalence,15.0,17221.0,6043
California,"Modoc County, California",2019,Age-adjusted Prevalence,15.0,8603.0,6049
California,"Contra Costa County, California",2019,Age-adjusted Prevalence,15.0,1132877.0,6013
California,"Inyo County, California",2019,Age-adjusted Prevalence,15.0,17562.0,6027
California,"Stanislaus County, California",2019,Age-adjusted Prevalence,15.0,538643.0,6099
California,"Santa Barbara County, California",2019,Age-adjusted Prevalence,15.0,425052.0,6083
California,"Tehama County, California",2019,Age-adjusted Prevalence,15.0,63142.0,6103
California,"Mono County, California",2019,Age-adjusted Prevalence,15.0,14190.0,6051
California,"San Benito County, California",2019,Age-adjusted Prevalence,15.0,60052.0,6069
Georgia,"Bryan County, Georgia",2021,Crude Prevalence,25.8,36797.0,13029
Georgia,"Butts County, Georgia",2021,Crude Prevalence,25.8,21124.0,13035
Georgia,"Camden County, Georgia",2021,Crude Prevalence,25.8,51251.0,13039
Georgia,"Crawford County, Georgia",2021,Crude Prevalence,25.8,12181.0,13079
Georgia,"Early County, Georgia",2021,Crude Prevalence,25.8,10107.0,13099
Georgia,"Coffee County, Georgia",2021,Crude Prevalence,25.8,39031.0,13069
Georgia,"Coweta County, Georgia",2021,Crude Prevalence,25.8,142258.0,13077
Georgia,"Gilmer County, Georgia",2021,Crude Prevalence,25.8,30138.0,13123
Georgia,"Walton County, Georgia",2021,Crude Prevalence,25.8,90201.0,13297
Georgia,"Wilkes County, Georgia",2021,Crude Prevalence,25.8,9699.0,13317
Georgia,"Dodge County, Georgia",2021,Crude Prevalence,25.8,18692.0,13091
Georgia,"Gordon County, Georgia",2021,Crude Prevalence,25.8,56476.0,13129
Georgia,"Cherokee County, Georgia",2021,Crude Prevalence,25.8,245524.0,13057
Georgia,"Fayette County, Georgia",2021,Crude Prevalence,25.8,111314.0,13113
Georgia,"Lee County, Georgia",2021,Crude Prevalence,25.8,28453.0,13177
Georgia,"Pickens County, Georgia",2021,Crude Prevalence,25.8,31133.0,13227
Georgia,"Greene County, Georgia",2021,Crude Prevalence,25.8,17173.0,13133
Georgia,"Cook County, Georgia",2021,Crude Prevalence,25.8,16872.0,13075
Georgia,"Dawson County, Georgia",2021,Crude Prevalence,25.8,24277.0,13085
Georgia,"Fulton County, Georgia",2021,Crude Prevalence,25.8,1003924.0,13121
Hawaii,"Hawaii County, Hawaii",2019,Number,78.0,196381.0,15001
Hawaii,"Honolulu County, Hawaii",2019,Number,78.0,953141.0,15003
Hawaii,"Kauai County, Hawaii",2019,Number,78.0,70984.0,15007
Hawaii,"Kalawao County, Hawaii",2019,Number,78.0,60.0,15005
Idaho,"Cassia County, Idaho",2020,Number,25.0,23378.0,16031
Idaho,"Lincoln County, Idaho",2020,Number,25.0,5291.0,16063
Idaho,"Valley County, Idaho",2020,Number,25.0,10584.0,16085
Idaho,"Franklin County, Idaho",2020,Number,25.0,13423.0,16041
Idaho,"Nez Perce County, Idaho",2020,Number,25.0,39130.0,16069
Idaho,"Kootenai County, Idaho",2020,Number,25.0,155412.0,16055
Idaho,"Minidoka County, Idaho",2020,Number,25.0,20499.0,16067
Idaho,"Twin Falls County, Idaho",2020,Number,25.0,83706.0,16083
Idaho,"Blaine County, Idaho",2020,Number,25.0,22330.0,16013
Idaho,"Boise County, Idaho",2020,Number,25.0,7335.0,16015
Idaho,"Butte County, Idaho",2020,Number,25.0,2539.0,16023
Idaho,"Gooding County, Idaho",2020,Number,25.0,15017.0,16047
Idaho,"Ada County, Idaho",2020,Number,25.0,447269.0,16001
Idaho,"Bear Lake County, Idaho",2020,Number,25.0,5924.0,16007
Idaho,"Bingham County, Idaho",2020,Number,25.0,45080.0,16011
Idaho,"Camas County, Idaho",2020,Number,25.0,1048.0,16025
Idaho,"Clearwater County, Idaho",2020,Number,25.0,7739.0,16035
Idaho,"Jefferson County, Idaho",2020,Number,25.0,28495.0,16051
Oregon,"Lane County, Oregon",2020,Age-adjusted Prevalence,8.6,365808.0,41039
Virginia,"Surry County, Virginia",2019,Number,3914.0,6516.0,51181
Virginia,"Clarke County, Virginia",2019,Number,3914.0,14176.0,51043
Virginia,"Mecklenburg County, Virginia",2019,Number,3914.0,29624.0,51117
Virginia,"Augusta County, Virginia",2019,Number,3914.0,70773.0,51015
Virginia,"Goochland County, Virginia",2019,Number,3914.0,21706.0,51075
Virginia,"Madison County, Virginia",2019,Number,3914.0,12994.0,51113
Virginia,"Roanoke County, Virginia",2019,Number,3914.0,91510.0,51161
Virginia,"Brunswick County, Virginia",2019,Number,3914.0,14128.0,51025
Virginia,"Northampton County, Virginia",2019,Number,3914.0,11529.0,51131
Virginia,"Rockbridge County, Virginia",2019,Number,3914.0,22334.0,51163
Virginia,"Norton City, Virginia",2019,Number,3914.0,3913.0,51720
Virginia,"Colonial Heights City, Virginia",2019,Number,3914.0,17206.0,51570
Virginia,"Bland County, Virginia",2019,Number,3914.0,5480.0,51021
Virginia,"Botetourt County, Virginia",2019,Number,3914.0,32938.0,51023
Virginia,"Bristol City, Virginia",2019,Number,3914.0,16592.0,51520
Virginia,"Williamsburg City, Virginia",2019,Number,3914.0,10552.0,51830
Virginia,"Carroll County, Virginia",2019,Number,3914.0,29538.0,51035
California,"Sacramento County, California",2019,Age-adjusted Prevalence,15.0,1504340.0,6067
California,"El Dorado County, California",2019,Age-adjusted Prevalence,15.0,186608.0,6017
California,"Monterey County, California",2019,Age-adjusted Prevalence,15.0,416284.0,6053
California,"San Francisco County, California",2019,Age-adjusted Prevalence,15.0,861359.0,6075
California,"San Diego County, California",2019,Age-adjusted Prevalence,15.0,3234305.0,6073
California,"Tulare County, California",2019,Age-adjusted Prevalence,15.0,456186.0,6107
California,"Humboldt County, California",2019,Age-adjusted Prevalence,15.0,132584.0,6023
California,"Alpine County, California",2019,Age-adjusted Prevalence,15.0,1039.0,6003
California,"Madera County, California",2019,Age-adjusted Prevalence,15.0,146837.0,6039
California,"Santa Cruz County, California",2019,Age-adjusted Prevalence,15.0,262224.0,6087
California,"Trinity County, California",2019,Age-adjusted Prevalence,15.0,12463.0,6105
California,"Riverside County, California",2019,Age-adjusted Prevalence,15.0,2373706.0,6065
California,"San Bernardino County, California",2019,Age-adjusted Prevalence,15.0,2091206.0,6071
California,"Marin County, California",2019,Age-adjusted Prevalence,15.0,253869.0,6041
California,"Placer County, California",2019,Age-adjusted Prevalence,15.0,382208.0,6061
California,"Shasta County, California",2019,Age-adjusted Prevalence,15.0,176274.0,6089
California,"Solano County, California",2019,Age-adjusted Prevalence,15.0,430780.0,6095
California,"Colusa County, California",2019,Age-adjusted Prevalence,15.0,21273.0,6011
Mississippi,"Copiah County, Mississippi",2021,Crude Prevalence,14.4,27541.0,28029
Mississippi,"Hinds County, Mississippi",2021,Crude Prevalence,14.4,229998.0,28049
Mississippi,"Union County, Mississippi",2021,Crude Prevalence,14.4,28157.0,28145
Mississippi,"Tippah County, Mississippi",2021,Crude Prevalence,14.4,21642.0,28139
Mississippi,"Forrest County, Mississippi",2021,Crude Prevalence,14.4,71682.0,28035
Mississippi,"Lafayette County, Mississippi",2021,Crude Prevalence,14.4,48878.0,28071
Mississippi,"Lowndes County, Mississippi",2021,Crude Prevalence,14.4,57347.0,28087
Mississippi,"Wilkinson County, Mississippi",2021,Crude Prevalence,14.4,7710.0,28157
Mississippi,"Jefferson Davis County, Mississippi",2021,Crude Prevalence,14.4,11157.0,28065
Mississippi,"Scott County, Mississippi",2021,Crude Prevalence,14.4,27972.0,28123
Mississippi,"Yazoo County, Mississippi",2021,Crude Prevalence,14.4,23575.0,28163
Mississippi,"Bolivar County, Mississippi",2021,Crude Prevalence,14.4,30305.0,28011
Mississippi,"Pike County, Mississippi",2021,Crude Prevalence,14.4,38291.0,28113
Mississippi,"Stone County, Mississippi",2021,Crude Prevalence,14.4,17510.0,28131
Mississippi,"Kemper County, Mississippi",2021,Crude Prevalence,14.4,9040.0,28069
Mississippi,"Sunflower County, Mississippi",2021,Crude Prevalence,14.4,21868.0,28133
Mississippi,"Adams County, Mississippi",2021,Crude Prevalence,14.4,28695.0,28001
Mississippi,"Desoto County, Mississippi",2021,Crude Prevalence,14.4,177342.0,28033
Pennsylvania,"Delaware County, Pennsylvania",2019,Crude Prevalence,10.6,543919.0,42045
Pennsylvania,"Somerset County, Pennsylvania",2019,Crude Prevalence,10.6,69090.0,42111
Missouri,"Madison County, Missouri",2019,Number,2029.0,11874.0,29123
Missouri,"Vernon County, Missouri",2019,Number,2029.0,19790.0,29217
Missouri,"Nodaway County, Missouri",2019,Number,2029.0,19355.0,29147
Missouri,"Chariton County, Missouri",2019,Number,2029.0,7242.0,29041
Missouri,"Wayne County, Missouri",2019,Number,2029.0,12905.0,29223
Missouri,"Scott County, Missouri",2019,Number,2029.0,37873.0,29201
Missouri,"Barton County, Missouri",2019,Number,2029.0,11658.0,29011
Missouri,"Cedar County, Missouri",2019,Number,2029.0,13852.0,29039
Missouri,"Gasconade County, Missouri",2019,Number,2029.0,14421.0,29073
Missouri,"Macon County, Missouri",2019,Number,2029.0,14901.0,29121
Missouri,"Oregon County, Missouri",2019,Number,2029.0,10468.0,29149
Missouri,"Ste. Genevieve County, Missouri",2019,Number,2029.0,17527.0,29186
Missouri,"Douglas County, Missouri",2019,Number,2029.0,13114.0,29067
Missouri,"Henry County, Missouri",2019,Number,2029.0,21349.0,29083
Missouri,"Lawrence County, Missouri",2019,Number,2029.0,37426.0,29109
Missouri,"Pulaski County, Missouri",2019,Number,2029.0,43055.0,29169
Missouri,"Texas County, Missouri",2019,Number,2029.0,24131.0,29215
Missouri,"Callaway County, Missouri",2019,Number,2029.0,40745.0,29027
Missouri,"Cooper County, Missouri",2019,Number,2029.0,16023.0,29053
Missouri,"Gentry County, Missouri",2019,Number,2029.0,6467.0,29075
Virginia,"Washington County, Virginia",2019,Number,3914.0,52166.0,51191
Virginia,"Page County, Virginia",2019,Number,3914.0,23538.0,51139
Virginia,"Alexandria City, Virginia",2019,Number,3914.0,156261.0,51510
Virginia,"Hampton City, Virginia",2019,Number,3914.0,130088.0,51650
Virginia,"Arlington County, Virginia",2019,Number,3914.0,230287.0,51013
Virginia,"Buchanan County, Virginia",2019,Number,3914.0,20822.0,51027
Virginia,"Stafford County, Virginia",2019,Number,3914.0,142541.0,51179
Virginia,"Richmond City, Virginia",2019,Number,3914.0,216099.0,51760
Virginia,"Essex County, Virginia",2019,Number,3914.0,10921.0,51057
Virginia,"Tazewell County, Virginia",2019,Number,3914.0,40030.0,51185
Virginia,"Manassas Park City, Virginia",2019,Number,3914.0,16832.0,51685
Virginia,"Sussex County, Virginia",2019,Number,3914.0,9070.0,51183
Virginia,"Manassas City, Virginia",2019,Number,3914.0,41041.0,51683
Virginia,"Salem City, Virginia",2019,Number,3914.0,22723.0,51775
Virginia,"Charlotte County, Virginia",2019,Number,3914.0,11801.0,51037
Virginia,"Greensville County, Virginia",2019,Number,3914.0,8244.0,51081
Washington,"Thurston County, Washington",2019,Crude Prevalence,2.8,276118.0,53067
Washington,"Columbia County, Washington",2019,Crude Prevalence,2.8,3944.0,53013
Puerto Rico,"Guayanilla Municipio, Puerto Rico",2019,Crude Prevalence,14.5,18447.0,72059
Puerto Rico,"Sabana Grande Municipio, Puerto Rico",2019,Crude Prevalence,14.5,22443.0,72121
Puerto Rico,"Hormigueros Municipio, Puerto Rico",2019,Crude Prevalence,14.5,15905.0,72067
Puerto Rico,"Utuado Municipio, Puerto Rico",2019,Crude Prevalence,14.5,28622.0,72141
Puerto Rico,"Florida Municipio, Puerto Rico",2019,Crude Prevalence,14.5,11684.0,72054
Puerto Rico,"Moca Municipio, Puerto Rico",2019,Crude Prevalence,14.5,35982.0,72099
Puerto Rico,"Salinas Municipio, Puerto Rico",2019,Crude Prevalence,14.5,28017.0,72123
Missouri,"Mississippi County, Missouri",2019,Number,2029.0,11811.0,29133
Missouri,"Ozark County, Missouri",2019,Number,2029.0,9084.0,29153
Missouri,"Bollinger County, Missouri",2019,Number,2029.0,12140.0,29017
Tennessee,"Sumner County, Tennessee",2020,Age-adjusted Prevalence,17.9,181413.0,47165
Tennessee,"Trousdale County, Tennessee",2020,Age-adjusted Prevalence,17.9,9289.0,47169
Tennessee,"Clay County, Tennessee",2020,Age-adjusted Prevalence,17.9,7551.0,47027
Illinois,"Moultrie County, Illinois",2019,Number,4724.0,14363.0,17139
Illinois,"Pike County, Illinois",2019,Number,4724.0,15194.0,17149
Illinois,"Pope County, Illinois",2019,Number,4724.0,4043.0,17151
Illinois,"St. Clair County, Illinois",2019,Number,4724.0,258079.0,17163
Illinois,"Shelby County, Illinois",2019,Number,4724.0,21520.0,17173
Illinois,"Champaign County, Illinois",2019,Number,4724.0,194198.0,17019
Illinois,"Calhoun County, Illinois",2019,Number,4724.0,4724.0,17013
Illinois,"Ford County, Illinois",2019,Number,4724.0,12866.0,17053
Illinois,"Kane County, Illinois",2019,Number,4724.0,525417.0,17089
Illinois,"Kendall County, Illinois",2019,Number,4724.0,125416.0,17093
Illinois,"Brown County, Illinois",2019,Number,4724.0,4728.0,17009
Illinois,"Marion County, Illinois",2019,Number,4724.0,36615.0,17121
Illinois,"Mason County, Illinois",2019,Number,4724.0,13358.0,17125
Illinois,"Iroquois County, Illinois",2019,Number,4724.0,27124.0,17075
Illinois,"Clay County, Illinois",2019,Number,4724.0,13049.0,17025
Illinois,"Gallatin County, Illinois",2019,Number,4724.0,5036.0,17059
Illinois,"Monroe County, Illinois",2019,Number,4724.0,33881.0,17133
Illinois,"Union County, Illinois",2019,Number,4724.0,16713.0,17181
Illinois,"Winnebago County, Illinois",2019,Number,4724.0,280102.0,17201
Illinois,"Pulaski County, Illinois",2019,Number,4724.0,5451.0,17153
Illinois,"Schuyler County, Illinois",2019,Number,4724.0,6798.0,17169
Illinois,"Edgar County, Illinois",2019,Number,4724.0,17109.0,17045
Illinois,"Boone County, Illinois",2019,Number,4724.0,53026.0,17007
Illinois,"Bureau County, Illinois",2019,Number,4724.0,32636.0,17011
Illinois,"Coles County, Illinois",2019,Number,4724.0,47788.0,17029
Illinois,"Crawford County, Illinois",2019,Number,4724.0,16618.0,17033
Illinois,"Putnam County, Illinois",2019,Number,4724.0,5662.0,17155
Illinois,"De Witt County, Illinois",2019,Number,4724.0,15646.0,17039
Illinois,"Lee County, Illinois",2019,Number,4724.0,31027.0,17103
Illinois,"Macoupin County, Illinois",2019,Number,4724.0,44479.0,17117
Illinois,"Richland County, Illinois",2019,Number,4724.0,15464.0,17159
Illinois,"Washington County, Illinois",2019,Number,4724.0,13829.0,17189
Oregon,"Washington County, Oregon",2020,Age-adjusted Prevalence,8.6,583967.0,41067
Oregon,"Clatsop County, Oregon",2020,Age-adjusted Prevalence,8.6,38506.0,41007
Pennsylvania,"Cameron County, Pennsylvania",2019,Crude Prevalence,10.6,4572.0,42023
Pennsylvania,"Bucks County, Pennsylvania",2019,Crude Prevalence,10.6,618415.0,42017
Pennsylvania,"Lehigh County, Pennsylvania",2019,Crude Prevalence,10.6,355304.0,42077
Pennsylvania,"Clarion County, Pennsylvania",2019,Crude Prevalence,10.6,37537.0,42031
Pennsylvania,"Greene County, Pennsylvania",2019,Crude Prevalence,10.6,33320.0,42059
Pennsylvania,"Luzerne County, Pennsylvania",2019,Crude Prevalence,10.6,305739.0,42079
Pennsylvania,"Columbia County, Pennsylvania",2019,Crude Prevalence,10.6,61000.0,42037
Pennsylvania,"Jefferson County, Pennsylvania",2019,Crude Prevalence,10.6,42983.0,42065
Pennsylvania,"Perry County, Pennsylvania",2019,Crude Prevalence,10.6,45442.0,42099
Pennsylvania,"Sullivan County, Pennsylvania",2019,Crude Prevalence,10.6,5925.0,42113
Rhode Island,"Kent County, Rhode Island",2019,Number,60.0,162325.0,44003
Rhode Island,"Washington County, Rhode Island",2019,Number,60.0,120057.0,44009
South Carolina,"Newberry County, South Carolina",2019,Number,2682.0,37058.0,45071
South Carolina,"Clarendon County, South Carolina",2019,Number,2682.0,32505.0,45027
South Carolina,"Sumter County, South Carolina",2019,Number,2682.0,104124.0,45085
South Carolina,"Barnwell County, South Carolina",2019,Number,2682.0,20887.0,45011
South Carolina,"Darlington County, South Carolina",2019,Number,2682.0,65611.0,45031
South Carolina,"York County, South Carolina",2019,Number,2682.0,261300.0,45091
South Carolina,"Cherokee County, South Carolina",2019,Number,2682.0,55986.0,45021
South Carolina,"Jasper County, South Carolina",2019,Number,2682.0,27967.0,45053
South Carolina,"Lee County, South Carolina",2019,Number,2682.0,15889.0,45061
South Carolina,"Abbeville County, South Carolina",2019,Number,2682.0,23927.0,45001
South Dakota,"Lyman County, South Dakota",2019,Age-adjusted Prevalence,9.3,3793.0,46085
South Dakota,"Deuel County, South Dakota",2019,Age-adjusted Prevalence,9.3,4249.0,46039
California,"Glenn County, California",2019,Age-adjusted Prevalence,15.0,27522.0,6021
California,"Butte County, California",2019,Age-adjusted Prevalence,15.0,220091.0,6007
California,"Kings County, California",2019,Age-adjusted Prevalence,15.0,135855.0,6031
